team_nick,gm,draft_year
Seahawks,Mike McCormack,1986
Seahawks,Mike McCormack,1987
Seahawks,Mike McCormack,1988
Seahawks,Tom Flores,1989
Seahawks,Tom Flores,1990
Seahawks,Tom Flores,1991
Seahawks,Tom Flores,1992
Seahawks,Tom Flores,1993
Seahawks,Tom Flores,1994
Seahawks,Randy Mueller,1995
Seahawks,Randy Mueller,1996
Seahawks,Randy Mueller,1997
Seahawks,Randy Mueller,1998
Seahawks,Mike Holmgren,1999
Seahawks,Mike Holmgren,2000
Seahawks,Mike Holmgren,2001
Seahawks,Mike Holmgren,2002
Seahawks,Bob Ferguson,2003
Seahawks,Bob Ferguson,2004
Seahawks,Tim Ruskell,2005
Seahawks,Tim Ruskell,2006
Seahawks,Tim Ruskell,2007
Seahawks,Tim Ruskell,2008
Seahawks,Tim Ruskell,2009
Seahawks,John Schneider,2010
Seahawks,John Schneider,2011
Seahawks,John Schneider,2012
Seahawks,John Schneider,2013
Seahawks,John Schneider,2014
Seahawks,John Schneider,2015
Seahawks,John Schneider,2016
Seahawks,John Schneider,2017
Seahawks,John Schneider,2018
Seahawks,John Schneider,2019
Seahawks,John Schneider,2020
Steelers,Dick Haley,1971
Steelers,Dick Haley,1972
Steelers,Dick Haley,1973
Steelers,Dick Haley,1974
Steelers,Dick Haley,1975
Steelers,Dick Haley,1976
Steelers,Dick Haley,1977
Steelers,Dick Haley,1978
Steelers,Dick Haley,1979
Steelers,Dick Haley,1980
Steelers,Dick Haley,1981
Steelers,Dick Haley,1982
Steelers,Dick Haley,1983
Steelers,Dick Haley,1984
Steelers,Dick Haley,1985
Steelers,Dick Haley,1986
Steelers,Dick Haley,1987
Steelers,Dick Haley,1988
Steelers,Dick Haley,1989
Steelers,Dick Haley,1990
Steelers,Tom Donahoe,1991
Steelers,Tom Donahoe,1992
Steelers,Tom Donahoe,1993
Steelers,Tom Donahoe,1994
Steelers,Tom Donahoe,1995
Steelers,Tom Donahoe,1996
Steelers,Tom Donahoe,1997
Steelers,Tom Donahoe,1998
Steelers,Tom Donahoe,1999
Steelers,Kevin Colbert,2000
Steelers,Kevin Colbert,2001
Steelers,Kevin Colbert,2002
Steelers,Kevin Colbert,2003
Steelers,Kevin Colbert,2004
Steelers,Kevin Colbert,2005
Steelers,Kevin Colbert,2006
Steelers,Kevin Colbert,2007
Steelers,Kevin Colbert,2008
Steelers,Kevin Colbert,2009
Steelers,Kevin Colbert,2010
Steelers,Kevin Colbert,2011
Steelers,Kevin Colbert,2012
Steelers,Kevin Colbert,2013
Steelers,Kevin Colbert,2014
Steelers,Kevin Colbert,2015
Steelers,Kevin Colbert,2016
Steelers,Kevin Colbert,2017
Steelers,Kevin Colbert,2018
Steelers,Kevin Colbert,2019
Steelers,Kevin Colbert,2020
Texans,Charley Casserly,2002
Texans,Charley Casserly,2003
Texans,Charley Casserly,2004
Texans,Charley Casserly,2005
Texans,Rick Smith,2006
Texans,Rick Smith,2007
Texans,Rick Smith,2008
Texans,Rick Smith,2009
Texans,Rick Smith,2010
Texans,Rick Smith,2011
Texans,Rick Smith,2012
Texans,Rick Smith,2013
Texans,Rick Smith,2014
Texans,Rick Smith,2015
Texans,Rick Smith,2016
Texans,Rick Smith,2017
Texans,Brian Gaine,2018
Texans,Bill O'Brien,2019
Texans,Bill O'Brien,2020
Titans,Ladd Herzeg,1981
Titans,Ladd Herzeg,1982
Titans,Ladd Herzeg,1983
Titans,Ladd Herzeg,1984
Titans,Ladd Herzeg,1985
Titans,Ladd Herzeg,1986
Titans,Ladd Herzeg,1987
Titans,Ladd Herzeg,1988
Titans,Ladd Herzeg,1989
Titans,Mike Holovak,1990
Titans,Mike Holovak,1991
Titans,Mike Holovak,1992
Titans,Mike Holovak,1993
Titans,Floyd Reese,1994
Titans,Floyd Reese,1995
Titans,Floyd Reese,1996
Titans,Floyd Reese,1997
Titans,Floyd Reese,1998
Titans,Floyd Reese,1999
Titans,Floyd Reese,2000
Titans,Floyd Reese,2001
Titans,Floyd Reese,2002
Titans,Floyd Reese,2003
Titans,Floyd Reese,2004
Titans,Floyd Reese,2005
Titans,Floyd Reese,2006
Titans,Mike Reinfeldt,2007
Titans,Mike Reinfeldt,2008
Titans,Mike Reinfeldt,2009
Titans,Mike Reinfeldt,2010
Titans,Mike Reinfeldt,2011
Titans,Ruston Webster,2012
Titans,Ruston Webster,2013
Titans,Ruston Webster,2014
Titans,Ruston Webster,2015
Titans,Jon Robinson,2016
Titans,Jon Robinson,2017
Titans,Jon Robinson,2018
Titans,Jon Robinson,2019
Titans,Jon Robinson,2020
Vikings,Mike Lynn,1975
Vikings,Mike Lynn,1976
Vikings,Mike Lynn,1977
Vikings,Mike Lynn,1978
Vikings,Mike Lynn,1979
Vikings,Mike Lynn,1980
Vikings,Mike Lynn,1981
Vikings,Mike Lynn,1982
Vikings,Mike Lynn,1983
Vikings,Mike Lynn,1984
Vikings,Mike Lynn,1985
Vikings,Mike Lynn,1986
Vikings,Mike Lynn,1987
Vikings,Mike Lynn,1988
Vikings,Mike Lynn,1989
Vikings,Mike Lynn,1990
Vikings,Jeff Diamond,1991
Vikings,Jeff Diamond,1992
Vikings,Jeff Diamond,1993
Vikings,Jeff Diamond,1994
Vikings,Jeff Diamond,1995
Vikings,Jeff Diamond,1996
Vikings,Jeff Diamond,1997
Vikings,Jeff Diamond,1998
Vikings,Tim Connolly,1999
Vikings,Dennis Green,2000
Vikings,Dennis Green,2001
Vikings,Rob Brzezinski,2002
Vikings,Rob Brzezinski,2003
Vikings,Rob Brzezinski,2004
Vikings,Rob Brzezinski,2005
Vikings,Rick Spielman,2006
Vikings,Rick Spielman,2007
Vikings,Rick Spielman,2008
Vikings,Rick Spielman,2009
Vikings,Rick Spielman,2010
Vikings,Rick Spielman,2011
Vikings,Rick Spielman,2012
Vikings,Rick Spielman,2013
Vikings,Rick Spielman,2014
Vikings,Rick Spielman,2015
Vikings,Rick Spielman,2016
Vikings,Rick Spielman,2017
Vikings,Rick Spielman,2018
Vikings,Rick Spielman,2019
Vikings,Rick Spielman,2020
